FIPS,response,Density.per.square.mile.of.land.area...Population,Ave.Tmp,crime_rate_per_100000_scaled,percent.male,percent.disabled,percent.age.65.plus,percent.black,percent.hispanic,Urban_Influence_Code_2013,Unemployment_rate_2018,Median_Household_Income_2018,Percent.of.adults.with.HS.or.less.2014.18,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Total.Hospitals..2019.,state.testing.rate,days_closing_of_public_venues,days_social_distancing
42131,0,71.2,57.83333333,99.98928686,0.501774754,0.13264,0.211787325,0.009909044,0.019041633,2,4.5,57599,54.5,273.3,0.420249,9249.195574,48,0
31145,0,15.4,60.93333333,99.94548428,0.497575984,0.13264,0.207999254,0.013611784,0.05127727,11,2.4,49034,39.6,214.5,0.517044807,13649.29219,64,93
29155,0,37.1,68.96666667,99.87095326,0.472468043,0.13264,0.17090708,0.260816126,0.027040315,9,5.5,31831,64.2,236.3,0.324034857,10768.33814,99,99
20069,0,6.9,64.05,99.85022466,0.503397978,0.13264,0.150837063,0.017072766,0.163931709,10,2,65771,45.2,206.5,0.288025265,9780.923031,92,98
51720,0,529.1,62.01666667,99.57679861,0.468497984,0.13264,0.186491935,0.057207661,0.048387097,8,3.9,34442,43.6,231.8,0.04472201,12615.00326,98,98
51095,0,470.4,69.53333333,99.26825118,0.483278139,0.094624134,0.252640811,0.136471327,0.058575599,1,2.9,86541,23.7,231.8,0.8610452,12615.00326,98,98
40083,0,56.3,69,99.05002026,0.495612273,0.13264,0.157767863,0.083927174,0.065022943,1,3,69114,41.9,189.1,1.499177,15327.709,30,0
53017,1,21.1,57.63333333,98.80671886,0.506677232,0.13264,0.17568229,0.008180483,0.32101988,2,5.3,65912,47.2,246.3,0.52384,12412.96496,71,0
17177,0,84.5,58.28333333,98.41677364,0.486135008,0.13264,0.227292025,0.102965164,0.041807253,5,4.8,47357,43.1,240.5,0.656836862,20596.04535,74,106
47137,0,31.2,66.5,98.23182711,0.500196773,0.13264,0.27587564,0.002164502,0.019677292,10,3.8,40182,64.6,225.8,0.08632631,21323.79406,35,0
51097,0,22,68.1,98.17671809,0.506532235,0.13264,0.228912241,0.267111616,0.032661176,4,3,51124,53.6,231.8,0.07936804,12615.00326,98,98
18063,0,357.4,61.18333333,98.12904945,0.500320342,0.096988785,0.138561395,0.074415151,0.040267291,1,2.9,80834,33.8,212,3.29432007,10757.79026,56,154
27091,0,29.3,55.58333333,97.93360102,0.495526914,0.13264,0.235026535,0.007935305,0.045489007,11,3.1,50821,45.4,265,0.447801612,17609.14542,66,95
42027,0,138.7,58.16666667,97.81020958,0.526046497,0.07622616,0.142471054,0.038076226,0.03037376,2,3.2,58258,35.7,273.3,2.529714,9249.195574,48,0
17103,0,49.7,59.06666667,97.53858512,0.531017152,0.13264,0.196008532,0.055635099,0.063582971,3,4.4,54915,45.4,240.5,0.502288738,20596.04535,74,106
29215,0,22.1,64.51666667,97.51911375,0.525204333,0.13264,0.210824762,0.037112354,0.021195886,9,4.1,34824,56.5,236.3,0.509211857,10768.33814,99,99
38067,0,6.6,52.1,97.47945969,0.528141644,0.13264,0.231322873,0.006621563,0.033827551,12,3.9,58766,44.2,217.1,0.3564547,19825.55225,42,0
22047,1,54,75.01666667,97.40162436,0.505883072,0.13264,0.158338682,0.487943523,0.027016289,2,6.2,47917,61.4,231.8,1.109429701,27859.50507,45,139
51169,0,43.3,64.38333333,97.17314488,0.502879168,0.13264,0.241989412,0.00821956,0.014256525,2,3.2,40161,56,231.8,0.2427026,12615.00326,98,98
36035,0,112.1,54.01666667,97.09449309,0.497658189,0.13264,0.195909761,0.022858316,0.0323002,5,5.1,51388,48.3,304.1,0.4552252,29541.23412,100,100
42005,0,105.5,59.48333333,96.90633856,0.498015721,0.168793957,0.219695693,0.009193571,0.007952439,1,5,49436,58.5,273.3,1.014076,9249.195574,48,0
1023,1,15.2,72.86666667,96.82705199,0.472704618,0.13264,0.229966514,0.417023596,0.010435324,10,5.5,39907,56.8,196.7,0.265338631,13629.40619,44,88
30087,0,1.8,53.21666667,96.47336263,0.503586009,0.13264,0.157894737,0.00441355,0.048990401,12,5.3,57674,45,236.2,0.477761095,15471.40753,33,0
21193,0,84.5,64.83333333,96.39414495,0.491951556,0.13264,0.169745516,0.017055036,0.010462977,11,6.3,33108,58,214.6,0.613118515,12721.18617,105,105
21085,0,51.8,66.08333333,96.16494211,0.504654078,0.13264,0.177690817,0.012233578,0.015007029,6,4.9,40780,61.6,214.6,0.618499634,12721.18617,105,105
39069,0,67.8,60.51666667,96.11277232,0.493908292,0.13264,0.186627778,0.008085358,0.07801078,6,4.9,57705,50.1,248.6,0.4495239,12155.23009,107,146
46095,0,1.6,56.13333333,96.10764056,0.518609207,0.13264,0.154750245,0.002938296,0.036728697,12,4.9,32780,56,219.1,0.1319308,12401.84071,0,99
21001,0,46,66.6,96.09224856,0.494821754,0.13264,0.185844392,0.029716367,0.020140515,9,5.1,37392,60.2,214.6,0.451520476,12721.18617,105,105
21191,0,53.7,64.51666667,96.08785175,0.509739142,0.13264,0.160850712,0.009429417,0.013765572,1,4.1,54583,60.7,214.6,0.341407286,12721.18617,105,105
5119,0,503.8,69.88333333,95.99165823,0.478076296,0.152760517,0.155533768,0.375371804,0.062445248,2,3.5,49957,35.8,188.2,11.46577522,16422.7034,52,135
21219,0,33.3,67.58333333,95.97696553,0.497847453,0.13264,0.160994233,0.08033466,0.038502153,7,4,51027,61,214.6,0.289287983,12721.18617,105,105
16025,0,1,50.1,95.96928983,0.505767524,0.13264,0.224489796,0.005323869,0.064773736,8,2.3,53866,44.4,181.6,0.028910483,9683.027758,52,97
4001,1,6.4,59.18333333,95.92126116,0.491659473,0.161756106,0.152970008,0.005708875,0.063911554,6,10.1,33652,53.5,224,0.831175158,12384.44907,45,131
5069,1,88.9,70.63333333,95.91343198,0.494200898,0.15783833,0.172901313,0.571277564,0.021375929,2,5.3,38596,52.5,188.2,1.988845404,16422.7034,52,135
54017,0,25.7,63.2,95.87727709,0.550202236,0.13264,0.216630978,0.019034023,0.008446348,8,4,44725,62.4,231.6,0.2606754,15296.01087,64,98
5091,0,69.5,71.76666667,95.61771347,0.491168104,0.13264,0.168930079,0.252385759,0.035602863,2,4.8,42162,49.9,188.2,1.272833028,16422.7034,52,95
51187,0,176,63.85,95.60970568,0.498437617,0.13264,0.160487963,0.04907132,0.048771342,1,3.1,65635,49.7,231.8,0.4508605,12615.00326,98,98
5117,0,13.4,70.58333333,95.53379508,0.503220213,0.13264,0.237800347,0.117537776,0.018206589,7,3.9,43245,57.8,188.2,0.235750915,16422.7034,52,95
40101,0,87.6,69.78333333,95.44400666,0.487127351,0.153286914,0.167242035,0.109739329,0.063017466,5,4,43911,51.1,189.1,2.167152,15327.709,30,0
40035,0,19.7,67.31666667,95.41984733,0.51223263,0.13264,0.195722075,0.031385433,0.03676779,6,3.5,43074,53.5,189.1,0.4535161,15327.709,30,0
45011,1,41.2,73.38333333,95.39310095,0.47693255,0.13264,0.183450171,0.442165593,0.02557787,6,4.8,38131,54.6,205,0.2865247,13226.40955,47,101
28027,1,47.3,71.05,95.30617107,0.46345236,0.13264,0.154322079,0.77024041,0.016572388,8,6.8,29380,45.8,174.8,0.750091913,14895.22198,73,91
