FIPS,County_Equivalent,State,POP_ESTIMATE_2018.x,Density.per.square.mile.of.land.area...Population,pop.density.percentile,case.rate,case.density.percentile,response,Rural.urban_Continuum.Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,Percent.of.adults.with.less.than.a.high.school.diploma.2014.18,Percent.of.adults.with.a.high.school.diploma.only.2014.18,Percent.of.adults.completing.some.college.or.associate.s.degree.2014.18,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2014.18,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Mar.Temp.AVG...F,Apr.Temp.AVG...F,May.Temp.AVG...F,Jun.Temp.AVG...F,Jul.Temp.AVG...F,Aug.Temp.AVG...F,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100000.Population.2018..AAMC.,Critical.Care.Medicine..AAMC.,Emergency.Medicine..AAMC.,Family.Medicine.General.Practice..AAMC.,Geriatric.Medicine.....AAMC.,Infectious.Disease..AAMC.,Internal.Medicine..AAMC.,Pulmonary.Disease..AAMC.,Total.Hospitals..2019.,ICU.Beds,transit_scores...population.weighted.averages.aggregated.from.town.city.level.to.county,crime_rate_per_100000,percent.male,percent.age.0.17,percent.age.18.64,percent.age.65.plus,percent.age.85.plus,percent.disabled,days_closing_of_public_venues,days_gathering_size_10_0,days_gathering_size_100_26,days_gathering_size_25_11,days_gathering_size_500_101,days_non-essential_services_closure,days_religious_gatherings_banned,days_school_closure,days_shelter_in_place,days_social_distancing,cases_closing_of_public_venues,cases_gathering_size_10_0,cases_gathering_size_100_26,cases_gathering_size_25_11,cases_gathering_size_500_101,cases_non-essential_services_closure,cases_religious_gatherings_banned,cases_school_closure,cases_shelter_in_place,cases_social_distancing,percent.white,percent.black,percent.asian,percent.hispanic,,,,,,,,,,,,,,,,
42131,Wyoming,PA,27046,71.2,0.620261032,2.218443,0.120623806,0,2,2,3,7.1,47.4,25.9,19.6,4.5,57599,94.6,32.9,49.1,58.6,64.6,73,68.8,273.3,88.2,1.360002,3.868825,10.56536,0.6060877,0.9629826,10.92225,0.5765225,0.420249,6,0,9998928686,0.501774754,0.193226355,0.59498632,0.211787325,0.022110478,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971899726,0.009909044,0.0048436,0.019041633,,,,,,,,,,,,,,,,
31145,Red Willow,NE,10726,15.4,0.229334991,1.491702405,0.065563335,0,7,11,0,7.9,31.7,41.6,18.8,2.4,49034,82.1,35.7,52.3,55.7,70,77.5,74.4,214.5,80.3,0.344696538,0.889539452,5.142649958,0.138990539,0.255742593,2.462912358,0.111192432,0.517044807,0,695652693,9994548428,0.497575984,0.218907328,0.573093418,0.207999254,0.035521164,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960283423,0.013611784,0.004754801,0.05127727,,,,,,,,,,,,,,,,
29155,Pemiscot,MO,16272,37.1,0.429770044,14.38053097,0.738064927,0,7,9,0,22.9,41.3,23.7,12.1,5.5,31831,58.5,47.7,60.4,71,76.3,79.4,79,236.3,79,0.961480478,1.92561698,5.609521465,0.297474623,0.446211935,4.982699938,0.217793921,0.324034857,7,0,9987095326,0.472468043,0.257067355,0.572025565,0.17090708,0.023230088,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184365782,0,0,0.184365782,0,0.708210423,0.260816126,0.004609145,0.027040315,,,,,,,,,,,,,,,,
20069,Gray,KS,6033,6.9,0.137663145,12.76313608,0.699872693,0,9,10,1,22.9,22.3,33.8,21,2,65771,113.1,39.2,55.1,59.6,71.9,79.1,79.4,206.5,80.5,0.167842061,0.530463798,2.971426118,0.060091602,0.089101341,1.365529855,0.060091602,0.288025265,0,0,9985022466,0.503397978,0.28990552,0.559257418,0.150837063,0.021879662,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,3.812365324,2.486325211,0,0,0,0,0,0,0.960550307,0.017072766,0.004475385,0.163931709,,,,,,,,,,,,,,,,
51720,Norton ,VA,3968,529.1,0.908017402,4.53629,0.314131127,0,7,8,2,19.2,24.4,39.4,16.9,3.9,34442,47.4,42.6,55,65.7,66.8,71.5,70.5,231.8,81.7,0.1360294,0.5394593,1.404085,0.06335618,0.09130744,1.31138,0.05450495,0.04472201,11,0,9957679861,0.468497984,0.19984879,0.613659274,0.186491935,0.023689516,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898185484,0.057207661,0.01890121,0.048387097,,,,,,,,,,,,,,,,
51095,James,VA,76397,470.4,0.898694842,7.958428,0.518141311,0,1,1,5,5,18.7,26.8,49.6,2.9,86541,119.2,47.1,62.3,72.7,75.6,80.9,78.6,231.8,81.7,2.619013,10.38636,27.03323,1.219814,1.757967,25.24836,1.049399,0.8610452,26,0,9926825118,0.483278139,0.200034033,0.547325157,0.252640811,0.030459311,0.094624134,0,0,0,0,0,0,0,0,0,0,0.484312211,0.157074231,0.104716154,0,0,0.484312211,0.484312211,0.091626635,0.955534903,0.484312211,0.803002736,0.136471327,0.027016768,0.058575599,,,,,,,,,,,,,,,,
40083,Logan,OK,47291,56.3,0.55686762,4.652048,0.323360917,0,1,1,2,9.8,32.1,30.5,27.6,3,69114,133.1,46.6,60.7,67.1,75.8,81.5,82.3,189.1,68.5,1.103395,4.101749,19.06954,0.371796,0.515717,9.067025,0.4917302,1.499177,0,0,9905002026,0.495612273,0.229832315,0.612399822,0.157767863,0.016853101,0.13264,0,0,0,0,0,0,0,0,0,0,0.063437018,0.063437018,0,0,0,0.063437018,0,0,0.021145673,0,0.8262883,0.083927174,0.006703178,0.065022943,,,,,,,,,,,,,,,,
53017,Douglas,WA,42907,21.1,0.284338098,22.0943,0.876511776,1,3,2,1,18.2,29,33.6,19.2,5.3,65912,89,33.9,48.2,59.1,63.9,68.8,71.9,246.3,91.7,1.560132,6.160814,20.98207,0.7459026,1.167252,13.79066,0.3985739,0.52384,0,3964294937,9880671886,0.506677232,0.257860023,0.566457688,0.17568229,0.020183187,0.13264,0,0,0,0,0,0,0,0,0,0,0,0.02330622,0,0,0,0.02330622,0.02330622,0,0.02330622,0,0.93001142,0.008180483,0.011233598,0.32101988,,,,,,,,,,,,,,,,
17177,Stephenson,IL,44753,84.5,0.664077067,7.30677273,0.484723106,0,4,5,3,7.1,36,37.7,19.3,4.8,47357,72.8,32.2,47.8,56.8,68.2,75.7,69,240.5,87.2,1.671948375,6.276831399,15.96429698,0.797336725,1.355823682,18.47924454,0.663861855,0.656836862,8,0,9841677364,0.486135008,0.213594619,0.559113356,0.227292025,0.035885862,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856925793,0.102965164,0.006658771,0.041807253,,,,,,,,,,,,,,,,
47137,Pickett,TN,5082,31.2,0.383157241,6.887052,0.464672183,0,9,10,5,23.7,40.9,26.7,8.7,3.8,40182,76.7,46,59,68.9,72.2,77.2,75.7,225.8,77.8,0.1959232,0.5179579,1.622184,0.03227853,0.1268621,1.693497,0.09158096,0.08632631,0,0,9823182711,0.500196773,0.177292405,0.546831956,0.27587564,0.025383707,0.13264,0,0,0,0,0,0,0,0,0,0,0,0,0.393545848,0,0,0,0,0,0,0,0.983667847,0.002164502,0.000983865,0.019677292,,,,,,,,,,,,,,,,
