FIPS,County_Equivalent,POP_ESTIMATE_2018.x,pop.density.percentile,case.rate,case.rate.percentile,response,percent_race,race
42131,Wyoming,27046,0.620261032,2.218443,0.120623806,0,0.971899726,white
31145,Red Willow,10726,0.229334991,1.491702405,0.065563335,0,0.960283423,white
29155,Pemiscot,16272,0.429770044,14.38053097,0.738064927,0,0.708210423,white
20069,Gray,6033,0.137663145,12.76313608,0.699872693,0,0.960550307,white
51720,Norton ,3968,0.908017402,4.53629,0.314131127,0,0.898185484,white
51095,James,76397,0.898694842,7.958428,0.518141311,0,0.803002736,white
40083,Logan,47291,0.55686762,4.652048,0.323360917,0,0.8262883,white
53017,Douglas,42907,0.284338098,22.0943,0.876511776,1,0.93001142,white
17177,Stephenson,44753,0.664077067,7.30677273,0.484723106,0,0.856925793,white
47137,Pickett,5082,0.383157241,6.887052,0.464672183,0,0.983667847,white
51097,King and Queen,7042,0.294903667,5.964215,0.409611712,0,0.682476569,white
18063,Hendricks,167009,0.873213176,11.29879228,0.658179504,0,0.871473992,white
27091,Martin,19785,0.362026103,10.46247157,0.623169955,0,0.967146828,white
42027,Centre,162805,0.762585457,2.284942,0.12667091,0,0.876871103,white
17103,Lee,34223,0.522063393,4.996639687,0.346276257,0,0.916605791,white
29215,Texas,25571,0.296457427,2.033553635,0.105028644,0,0.929021157,white
38067,Pembina,6947,0.134244873,3.88657,0.255569701,0,0.933352526,white
22047,Iberville,32721,0.544126787,37.80446808,0.972628899,1,0.494178051,white
51169,Scott,21534,0.476072094,4.225875,0.284850414,0,0.976966657,white
36035,Fulton,53591,0.728402735,5.523315482,0.385105029,0,0.951932227,white
42005,Armstrong,65263,0.714729646,3.248395,0.203055379,0,0.976418491,white
1023,Choctaw,12841,0.227470479,22.03878203,0.875875239,1,0.571840199,white
30087,Rosebud,9063,0.043505283,3.751517158,0.244112031,0,0.564603332,white
21193,Perry,26092,0.664077067,8.585006899,0.548695099,0,0.962172313,white
21085,Grayson,26321,0.532628962,7.636487975,0.498090388,0,0.970137913,white
39069,Henry,27086,0.605344935,4.319575,0.295989815,0,0.97020601,white
46095,Mellette,2042,0.038222498,11.75318,0.669955442,0,0.390303624,white
21001,Adair,19215,0.494406464,10.46057767,0.622851687,0,0.948529794,white
21191,Pendleton,14529,0.542883779,3.028425907,0.188415022,0,0.972055888,white
5119,Pulaski,392680,0.904288378,14.21513701,0.733609166,0,0.574551798,white
21219,Todd,12311,0.399627098,2.842985948,0.171228517,0,0.897571278,white
16025,Camas,1127,0.021441889,0.887311446,0.036600891,0,0.939662822,white
4001,Apache,71818,0.130205096,44.45960623,0.985677912,1,0.223746136,white
5069,Jefferson,68114,0.676507147,22.52106762,0.882240611,1,0.40125378,white
54017,Doddridge,8406,0.333436917,0.7137759,0.032463399,0,0.957887223,white
5091,Miller,43592,0.612802983,11.74527436,0.669318905,0,0.713571297,white
51187,Warren,40003,0.794592915,8.874334,0.562062381,0,0.906582006,white
5117,Prairie,8074,0.209136109,11.2707456,0.656906429,0,0.863264801,white
40101,Muskogee,68362,0.673399627,7.401773,0.487587524,0,0.599923934,white
40035,Craig,14306,0.269422001,5.731861,0.395289624,0,0.656437858,white
45011,Barnwell,21112,0.461777502,19.56233,0.837683004,1,0.527425161,white
28027,Coahoma,22628,0.506836544,33.58670674,0.957988542,1,0.215441046,white
22105,Tangipahoa,133777,0.775637042,25.9910149,0.915658816,1,0.668530465,white
48359,Oldham,2131,0.031385954,6.569686,0.447167409,0,0.922102299,white
28097,Montgomery,10023,0.34307023,32.52519206,0.951941439,1,0.531677143,white
39053,Gallia,29979,0.599129894,2.168184,0.118077658,0,0.942960072,white
31025,Cass,26159,0.489434431,6.804541458,0.459579885,0,0.964983371,white
17043,DuPage,928589,0.986016159,13.17375071,0.7119669,0,0.796596772,white
39007,Ashtabula,97493,0.770043505,5.836316,0.399745385,0,0.929697517,white
45067,Marion,31039,0.604412679,17.84851,0.812221515,1,0.402558072,white
22003,Allen,25605,0.402734618,49.83401679,0.991725016,1,0.724663152,white
56033,Sheridan,30233,0.190490988,2.447657,0.140356461,0,0.951079946,white
27103,Nicollet,34220,0.627408328,9.848042081,0.602482495,0,0.922969024,white
5135,Sharp,17366,0.357364823,6.506967638,0.443984723,0,0.95450881,white
2070,Dillingham,5000,0.005593536,0.2,0.017823043,0,0.1652,white
48159,Franklin,10766,0.4307023,8.545421,0.546785487,0,0.921326398,white
21167,Mercer,21774,0.668738347,3.811885735,0.24888606,0,0.932304583,white
21051,Clay,20105,0.497513984,7.560308381,0.493952896,0,0.94359612,white
