mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
0.09101186,0.00221392,0.00290842,9.65E-05,10,10,10,0.85685885,0.88469185,0.86653386,0.84661355,0.84860558,0.86066074,0.01392187
0.4331522,0.00690628,0.00766234,2.03E-04,10,10,50,0.88667992,0.87475149,0.89243028,0.85458167,0.88047809,0.87778429,0.01302653
0.86759577,0.01595349,0.01386313,3.00E-04,10,10,100,0.87475149,0.87077535,0.88844622,0.85856574,0.87848606,0.87420497,0.00977535
1.72218466,0.02814918,0.02581692,4.00E-04,10,10,200,0.87673956,0.87276342,0.90239044,0.85856574,0.88446215,0.87898426,0.01441187
3.44282908,0.02953191,0.04895444,5.43E-04,10,10,400,0.87475149,0.87673956,0.89840637,0.85458167,0.88047809,0.87699144,0.01398595
0.15452585,0.0013266,0.00281062,4.91E-05,10,20,10,0.86878728,0.86878728,0.88247012,0.85856574,0.84860558,0.8654432,0.01134096
0.76950626,0.01372441,0.00757236,2.59E-04,10,20,50,0.87673956,0.88270378,0.87450199,0.85657371,0.87450199,0.87300421,0.00874623
1.52450509,0.02313049,0.01323385,2.77E-04,10,20,100,0.87872763,0.87673956,0.89243028,0.87051793,0.87848606,0.87938029,0.00716998
3.06143527,0.02818539,0.02587404,8.70E-04,10,20,200,0.87673956,0.8667992,0.90039841,0.85856574,0.87649402,0.87579939,0.01403196
5.98425746,0.0593363,0.04983201,3.00E-03,10,20,400,0.87872763,0.87276342,0.89840637,0.85657371,0.88247012,0.87778825,0.01358834
0.28795533,0.00501136,0.00275826,5.68E-05,10,40,10,0.85487078,0.85089463,0.8685259,0.84860558,0.87848606,0.86027659,0.01142884
1.40419998,0.0167068,0.00730762,2.22E-04,10,40,50,0.88071571,0.8667992,0.88047809,0.85059761,0.8685259,0.8694233,0.01106187
2.80723376,0.02324249,0.0125926,1.74E-04,10,40,100,0.87475149,0.8667992,0.87848606,0.8625498,0.87450199,0.87141771,0.00584053
5.66226907,0.04872786,0.0243679,3.67E-04,10,40,200,0.87673956,0.8667992,0.89043825,0.85258964,0.87649402,0.87261214,0.0125265
11.1875432,0.12073712,0.04689007,2.08E-03,10,40,400,0.87872763,0.8528827,0.89243028,0.85856574,0.87250996,0.87102326,0.01417108
0.38561983,0.00313081,0.00272365,5.85E-05,10,55,10,0.85487078,0.85884692,0.8685259,0.85458167,0.86055777,0.85947661,0.00507206
1.91785283,0.00750584,0.00741467,5.67E-04,10,55,50,0.88270378,0.8667992,0.88446215,0.84661355,0.8625498,0.8686257,0.01395545
3.80446262,0.02026067,0.01278248,1.67E-04,10,55,100,0.87673956,0.85884692,0.89243028,0.84661355,0.87649402,0.87022487,0.01588569
7.62902975,0.06073279,0.02378001,3.20E-04,10,55,200,0.88667992,0.86878728,0.89043825,0.84462151,0.87051793,0.87220898,0.01623176
15.24625387,0.10548291,0.04610195,1.06E-03,10,55,400,0.88270378,0.86083499,0.88844622,0.85258964,0.87649402,0.87221373,0.01346429
0.0990881,0.00257341,0.00287914,1.66E-04,20,10,10,0.87475149,0.85685885,0.86454183,0.84063745,0.85856574,0.85907107,0.01114228
0.47497735,0.01042892,0.00813208,1.48E-04,20,10,50,0.87276342,0.87673956,0.88645418,0.85856574,0.88047809,0.8750002,0.00937359
0.94520211,0.01706616,0.01432033,3.74E-04,20,10,100,0.87872763,0.87077535,0.89641434,0.85059761,0.87848606,0.8750002,0.01481854
1.86326752,0.04199044,0.02664418,3.96E-04,20,10,200,0.87872763,0.87872763,0.89442231,0.85458167,0.88446215,0.87818428,0.01312066
3.76400714,0.07084536,0.05215945,6.06E-04,20,10,400,0.87077535,0.88270378,0.89442231,0.85258964,0.88446215,0.87699065,0.01432735
0.17491837,0.00641363,0.0028182,3.24E-05,20,20,10,0.86878728,0.84493042,0.87450199,0.85258964,0.87848606,0.86385908,0.01293678
0.85248985,0.02269972,0.00781584,3.26E-04,20,20,50,0.87673956,0.8667992,0.89043825,0.8685259,0.87848606,0.87619779,0.00843222
